Time,lng,lat,NPMLeft,NPMRight,HeadingAngle,TraceAngle,ShipSpeed,RudderAngle
9:39,119.676629,39.855193,16.000000,8.000000,130.351000,130.351000,7.141315,1.107429
9:39,119.676692,39.855152,12.000000,12.000000,130.670000,130.670000,7.096616,1.095187
9:39,119.676756,39.855111,56.000000,16.000000,130.889000,130.889000,7.046497,1.111888
9:39,119.676819,39.855070,24.000000,8.000000,131.125000,131.125000,6.999241,1.107724
9:39,119.676883,39.855031,28.000000,8.000000,130.528000,130.528000,7.002459,1.123065
9:39,119.676946,39.854991,20.000000,8.000000,130.128000,130.128000,7.023567,1.093530
9:39,119.677010,39.854951,52.000000,12.000000,129.746000,129.746000,7.092655,1.281320
9:39,119.677074,39.854911,20.000000,12.000000,129.270000,129.270000,7.017824,3.358325
9:39,119.677132,39.854875,36.000000,12.000000,129.352000,129.352000,7.095599,3.327372
9:39,119.677196,39.854835,60.000000,8.000000,129.184000,129.184000,7.050324,3.393268
9:39,119.677260,39.854795,60.000000,20.000000,129.125000,129.125000,7.062649,3.327562
9:40,119.677325,39.854756,32.000000,12.000000,128.960000,128.960000,7.015850,3.327290
9:40,119.677390,39.854718,36.000000,8.000000,128.541000,128.541000,7.040585,3.329804
9:40,119.677455,39.854679,44.000000,12.000000,128.516000,128.516000,7.036354,3.352030
9:40,119.677520,39.854640,24.000000,12.000000,128.482000,128.482000,7.072652,5.657143
9:40,119.677585,39.854601,16.000000,16.000000,128.543000,128.543000,7.070638,15.210003
9:40,119.677644,39.854566,16.000000,8.000000,128.479000,128.479000,7.051579,23.705332
9:40,119.677710,39.854527,36.000000,12.000000,128.619000,128.619000,7.110075,26.891604
9:40,119.677776,39.854488,32.000000,12.000000,128.561000,128.561000,7.105998,26.822577
9:40,119.677842,39.854448,16.000000,12.000000,128.653000,128.653000,7.138647,26.863348
9:40,119.677907,39.854409,56.000000,8.000000,128.701000,128.701000,7.086248,26.859726
9:40,119.677971,39.854369,28.000000,8.000000,129.722000,129.722000,7.120543,26.858241
9:40,119.678034,39.854328,24.000000,12.000000,131.460000,131.460000,6.973650,26.807491
9:40,119.678094,39.854286,16.000000,12.000000,134.485000,134.485000,6.895860,26.853020
9:40,119.678145,39.854247,12.000000,8.000000,137.811000,137.811000,6.705563,26.831567
9:40,119.678199,39.854204,24.000000,8.000000,141.146000,141.146000,6.633832,26.850220
9:40,119.678248,39.854158,44.000000,12.000000,145.025000,145.025000,6.527847,26.807597
9:40,119.678293,39.854111,28.000000,16.000000,149.098000,149.098000,6.496544,26.850916
9:40,119.678333,39.854061,40.000000,16.000000,152.780000,152.780000,6.467925,26.893201
9:40,119.678369,39.854010,8.000000,12.000000,156.919000,156.919000,6.449146,26.854463
9:40,119.678399,39.853956,24.000000,12.000000,161.184000,161.184000,6.436774,26.871664
9:40,119.678423,39.853907,24.000000,12.000000,164.945000,164.945000,6.397464,26.897644
9:40,119.678444,39.853852,4.000000,8.000000,169.245000,169.245000,6.390711,26.874255
9:40,119.678459,39.853795,20.000000,12.000000,173.706000,173.706000,6.369004,26.894850
9:40,119.678470,39.853739,16.000000,12.000000,177.770000,177.770000,6.360494,26.924541
9:40,119.678475,39.853682,32.000000,12.000000,182.219000,182.219000,6.292513,26.927834
9:40,119.678474,39.853625,28.000000,8.000000,186.273000,186.273000,6.324330,26.900847
9:40,119.678469,39.853568,24.000000,8.000000,190.433000,190.433000,6.292283,26.904175
9:40,119.678457,39.853513,36.000000,8.000000,194.611000,194.611000,6.255462,26.895906
9:40,119.678444,39.853464,36.000000,12.000000,197.787000,197.787000,6.249293,26.882753
9:40,119.678423,39.853410,20.000000,12.000000,201.893000,201.893000,6.181216,26.877861
9:40,119.678398,39.853358,4.000000,8.000000,205.587000,205.587000,6.226243,26.898398
9:40,119.678368,39.853308,16.000000,8.000000,209.903000,209.903000,6.164410,26.901078
9:40,119.678333,39.853260,28.000000,12.000000,214.288000,214.288000,6.101066,26.918492
9:40,119.678294,39.853214,12.000000,12.000000,218.100000,218.100000,6.140111,26.890956
9:40,119.678251,39.853170,72.000000,16.000000,222.678000,222.678000,6.138766,26.911747
9:40,119.678203,39.853129,48.000000,12.000000,227.032000,227.032000,6.098825,25.385012
9:40,119.678157,39.853095,60.000000,20.000000,230.845000,230.845000,6.115969,24.006465
9:40,119.678102,39.853060,20.000000,12.000000,235.329000,235.329000,6.133571,20.222278
9:40,119.678044,39.853027,16.000000,20.000000,239.337000,239.337000,6.162465,18.059922
9:40,119.677983,39.852997,12.000000,8.000000,243.097000,243.097000,6.253863,15.588891
9:40,119.677918,39.852971,36.000000,8.000000,247.357000,247.357000,6.286627,13.663411
9:40,119.677851,39.852948,32.000000,8.000000,251.849000,251.849000,6.288165,11.669208
9:40,119.677781,39.852930,12.000000,12.000000,255.925000,255.925000,6.311317,9.445543
9:40,119.677711,39.852915,16.000000,12.000000,259.804000,259.804000,6.315151,8.056116
9:40,119.677638,39.852903,28.000000,8.000000,263.151000,263.151000,6.364775,7.740559
9:40,119.677572,39.852896,20.000000,8.000000,265.986000,265.986000,6.431213,4.938482
9:40,119.677497,39.852890,24.000000,8.000000,268.850000,268.850000,6.530117,4.619017
9:40,119.677420,39.852887,16.000000,20.000000,271.253000,271.253000,6.657751,2.435372
9:40,119.677341,39.852888,12.000000,8.000000,273.538000,273.538000,6.803815,0.815959
9:40,119.677262,39.852893,16.000000,8.000000,275.907000,275.907000,6.897057,0.814040
9:40,119.677182,39.852900,32.000000,8.000000,278.501000,278.501000,6.868020,-0.973863
9:40,119.677103,39.852910,68.000000,12.000000,280.965000,280.965000,6.776372,-1.026139
9:40,119.677034,39.852920,24.000000,16.000000,282.991000,282.991000,6.677905,-1.035512
9:40,119.676958,39.852933,88.000000,8.000000,284.925000,284.925000,6.569030,1.096933
9:40,119.676884,39.852948,64.000000,8.000000,286.254000,286.254000,6.506819,1.850208
9:40,119.676811,39.852963,44.000000,8.000000,286.973000,286.973000,6.473892,1.869778
9:40,119.676738,39.852979,16.000000,12.000000,287.071000,287.071000,6.527680,1.814856
9:40,119.676664,39.852994,16.000000,12.000000,286.720000,286.720000,6.583570,1.849405
9:40,119.676589,39.853010,12.000000,8.000000,285.867000,285.867000,6.677850,1.848544
9:40,119.676513,39.853026,64.000000,8.000000,285.115000,285.115000,6.789187,1.804758
9:41,119.676444,39.853041,8.000000,16.000000,284.198000,284.198000,6.848569,1.835261
9:41,119.676366,39.853056,20.000000,12.000000,283.441000,283.441000,6.924240,1.871915
9:41,119.676287,39.853071,20.000000,12.000000,282.906000,282.906000,6.981126,1.859188
9:41,119.676208,39.853086,32.000000,8.000000,282.496000,282.496000,7.026526,1.839972
9:41,119.676128,39.853101,24.000000,8.000000,282.230000,282.230000,7.045774,1.847880
9:41,119.676048,39.853115,8.000000,12.000000,282.005000,282.005000,7.020339,1.873661
9:41,119.675968,39.853128,24.000000,16.000000,281.762000,281.762000,6.997527,1.840299
9:41,119.675888,39.853141,28.000000,12.000000,281.321000,281.321000,6.965833,1.838571
9:41,119.675816,39.853153,20.000000,8.000000,280.901000,280.901000,6.951570,0.245903
